sentence,Sentiments,Bayes
"I think the New Year will give surprises to make the Indonesian people happy, for example lowering the price of the price of basic necessities, actually increasing the price of cigarettes by prohibiting buying cool cigarettes.",Positif,Negatif
"hi, BLT providers to increase capital to sell SMEs as a solution for orders to anticipate inflation rising fuel prices next tweet discuss BLT",Positif,Positif
for mypertamina transactions to protect subsidies that are not permitted by the local price leveling program,Positif,Positif
"It's cool that oil prices went up yesterday, American oil prices went up, Indo followed suit, now there's time for Russian oil to go up, Indo follows suit, when will it go up?",Positif,Positif
Sukabumi City Government reached out to help residents affected by the price increase this morning to help with the handover of the news baros district,Positif,Positif
"If the price goes up, if the people are angry, you have to give an order to increase it, blablabla, evil, do you know what regime price increases mean, the price of basic commodities is really going up, let me know.",Negatif,Negatif
"aiming for yourself, not looking for profits in the style of private corporations, plnpertaminaptpospershair, drinking areas, all of Indonesia's cements are full of people's needs, that's why you know the subsidized prices, current prices are like salads too",Positif,Positif
"After the order to increase the subsidy price, the issue of decreasing quality of pertalite emerged publicly",Positif,Positif
"Now as a fisherman, it's hard to find fish or crab, plus the price of crab is cheap, while it's expensive, it's a loss for fishermen",Negatif,Negatif
"CV Surya down, labor wages, prices up, news, West Kalimantan",Netral,Netral
Jokowi gave up after increasing the price of Pertalite,Netral,Netral
"It's very true that survey institutions have results, so what is the value of the authority of survey institutions? Unfortunately, the level of people's poverty is rising, now the price of eggs is surveying",Positif,Positif
"Well, people never pay taxes like that and don't use electricity, they don't use it, and then the prices rocket, I don't know if that's where the people's debt comes from.",Negatif,Negatif
"Ik car fast, increase the power of the fares of foreign countries, join the labor force of the bomb experts, stabilize the price of basic materials, there are many problems in the country, legal issues, the leader is a fool.",Positif,Positif
It's normal to order a non-subsidized price increase for Pertamax,Positif,Positif
Wiranto supports price adjustments,Positif,Positif
"wait, expertena, the stock of basic food tips is really a priority when many ships dock in Karimunjawa to avoid the waves so they need a lot more, yes, the price of chilies there is skyrocketing, vegetables, tofu and tempeh are also needed",Positif,Positif
"it's clear and Wamena Intan Jaya Nduga is an isolated district, access to the plane on the road is not yet clear because all the prices of goods are expensive when entering fuel, public fuel stations, prices are high at times",Negatif,Positif
Pertamina compact world crude oil prices rose today,Negatif,Netral
treasurer of STP Harmony PT Taekwang supports according to price,Positif,Positif
"let's choose to lead and bring the benefit of the people in the era of the late president, BJ Habibie, despite pressure from the IMF and commodity prices soaring, the fact is that prices once went up, but instead fell, Anies Baswedan, the caliber of the late BJ Habibie's presidential candidate, was independent.",Positif,Positif
"wise orders link price increases, claims former chairman of the OJK board of commissioners, Muliaman Darmansyah Hadad, as a safe step, Indonesia is threatened with recession because of large subsidies, the budget is heavy, orders can harm credibility",Negatif,Negatif
"according to the price, one of the steps of the order to safeguard state money",Positif,Positif
"In Malaysia, the minimum wage is higher than in Indonesia. In Malaysia, the price is cheaper than in Indonesia. In Malaysia, the price of electricity is cheaper than in Indonesia. May God bless the country.",Positif,Positif
"Once asked for it to be lowered, people didn't choose to buy Pertalit Shell. Yesterday it went down, but it went up again below the Pertamax price",Negatif,Negatif
according to the right target subsidy price,Netral,Netral
The purchasing power of people's consumption is influenced by an extraordinary increase in management prices,Positif,Positif
"Your mentor used to be very easy to say so, in fact the price is expensive, fertilizer is expensive, electricity is expensive, taxes are expensive, only BLT, you keep it, you still choose the regime",Positif,Positif
according to the same good price,Positif,Positif
"If the price goes up, if you don't buy it, it's the same as the price of goods going up. Be careful what you wish for",Positif,Positif
"It's clear about Indonesian prices that Pertamina wins a lot, it's really messed up, you know",Positif,Positif
Prices are rising because price rockets require basic necessities for the local community,Netral,Netral
"The VAT price increases with every envelope you give, Mr President",Netral,Netral
"Fertilizer subsidies for pruning are almost gone, so now people want to buy electric car motorbikes and subsidies. How wise are the orders now? Farmers are screaming that fertilizer prices are expensive. The harvest yields are sufficient, then the government is swiftly importing rice, sugar",Positif,Positif
The effect of forced increases in drinking prices is called BDC Cafe,Negatif,Netral
Where's the proof that Uncle Owi is saying that one price keeps going up?,Netral,Netral
heard the news that prices are going to go down,Netral,Netral
Orders sell exactly according to BBMBengkulu prices,Netral,Netral
continue to support according to price,Positif,Positif
Mypertamina's benefits help Pertamina's one price program to be fair to Indonesians and remote areas of the country so that it is easy to buy,Positif,Positif
"If a small amount of work is taken care of, it will have no impact on society, even if it is bigger, the price of basic necessities will decrease steadily so that people's purchasing power is sufficient.",Positif,Positif
according to the right price in Bengkulu,Netral,Netral
"jar, you want to take part in the presidential election, you are sad, you are laughing, bro, the country is happy, the debt continues to rise, prices are threatening to rise",Negatif,Negatif
"Come on, admit it, which feature do you most often open in the Mypertamina application? Voucher feature to get attractive discounts; Event promo feature to stay up to date. SPBU maps feature. Often forget to fill in",Positif,Positif
price gouging,Netral,Netral
according to the subsidy transfer price,Netral,Netral
"price increases, orders increase, the impact of all sectors, shipping transport costs increase, all agricultural fertilizers, medicines also increase, all staple foodstuffs increase, so the fate of small people is the result of policies.",Positif,Positif
Have an ego when prices go down and down,Netral,Netral
support according to bbmbengkulu prices,Positif,Positif
"Evidence according to price influences people's buying, in fact people's buying tends to be better, because the order to transfer social assistance subsidies is more targeted",Positif,Positif
"Having appropriate prices is important for maintaining public welfare, so let's support wise orders",Positif,Positif
stupid female national debt pay the people of Indonesia and taxes strangle the price of imported rice looks expensive in the world,Negatif,Negatif
The contents of the subsidy are really embarrassing for the price of the car,Negatif,Positif
Bengkulu residents support according to BBMBengkulu prices,Positif,Positif
West Java figures support price adjustments for the nation's future,Positif,Positif
President Jokowi's right steps according to price,Netral,Netral
"ciie ciie ciie In the past, when SBY liked Nang Bombay, prices rose a little and then there was a demonstration against foreign debt, now you are diligent in criticizing cheap soap opera dramas, okay?",Positif,Negatif
"Already the price has gone up, the price of basic necessities has gone up, and I'm telling you to buy STB so you can enjoy TV news shows",Positif,Positif
"Sometimes the account of the tweet is confusing, it's too insulting, as if one price is a public lie, it's a fraud by the head of state. I hope this tweet will be responsive to the palace",Negatif,Positif
M David Sukabumi student reason activist supports according to price,Positif,Positif
Nexian Messenger level prices are ready to be an alternative motivational humor,Positif,Positif
David supports price adjustments,Positif,Positif
Kiki Baehaqi takes care of one Indonesian journalist and supports it according to price,Positif,Positif
"even though there was data from last September, thousands of online motorcycle taxi drivers in the city of Cirebon received direct cash assistance due to the price increase, even though the price increase was very impactful",Positif,Positif
the steps to take the order are very accurate according to the transfer price blt,Netral,Netral
"according to the very right price, the rich enjoy subsidies",Positif,Positif
President Jokowi is able to keep the economy in line with prices,Netral,Positif
"The Ministry of Finance released a report that even though the state-level subsidized price still costs money, it still costs money",Netral,Netral
continue to support according to price,Positif,Positif
"In fact, if you want to make food estate land in the center of Papua, Papua's fertile land is more necessary so that the price is not very expensive, the expedition costs will automatically increase, the price of basic needs there will be even more fantastic",Positif,Positif
"During the global crisis, stocks at fixed prices guarantee what the community needs",Negatif,Negatif
"Pak Anies is willing to commit to eliminating taxes burdened on the people by reducing the price of basic necessities for his party, President Anies",Positif,Positif
"You guys didn't get the price increase, you were happy, but when SBY raised it, you were the ones who didn't give me candy, the party didn't know how to play drama, you're just a liar.",Positif,Positif
Sukabumi student reason activists support according to price,Positif,Netral
"Anies doesn't attack religion, it's important that Ahok's mistake is to bring up teaching about religion. People have to focus on issues like the price of not bringing up religion. You know for yourself, Sara's issue here is very sensitive.",Positif,Positif
"diarrhea and crying, it's the democrats' turn to raise bombay, it's the pdip's turn to raise their mouths, everyone admits that the small party won't know that the sneaky people's party is increasing prices of basic commodities, increasing rice imports, selling toll roads",Positif,Negatif
"Bentian Besar Police Department distributes basic necessities to residents, impact of rising fuel prices, Bentian Besar Police Chief IPTU Edy Hariyanto Shmh leads social service, social services for underprivileged residents, impact of rising fuel prices",Netral,Netral
Bengkulu supports according to BBMBengkulu prices,Positif,Positif
according to reasonable price,Netral,Netral
"Kh Yayan Hasuna, chairman of the Bandung Regency MUI, supports according to fuel tariff prices",Positif,Positif
"Tried using non-subsidized long homecoming yesterday, subsidies were more economical, KML Hargalfix",Netral,Netral
world oil prices keep falling,Negatif,Netral
Continue to support according to BBMBengkulu prices,Positif,Positif
"Prices between gas stations are sometimes different at gas stations in Java and gas stations in Sumatra, sometimes different, especially for retail prices.",Netral,Positif
"Is the order wrong if the price is the same as less than the subsidy to cover shipping costs there, brother",Negatif,Positif
Bengkulu residents support according to BBMBengkulu prices,Positif,Positif
world crude oil prices go down prices don't go back world oil prices t,Negatif,Negatif
"head of the South Sumatra PKK movement team HJ Febrita Lustia HD with the head of the South Sumatra ICSB HJ Samantha Tivani Bbus MIB to help with basic food supplies for the community, join the fishing community, impact center according to fuel oil prices",Positif,Positif
a mere thumb-sucking price,Netral,Netral
"during Suharto's era, you needed to queue, you needed to demonstrate, price increases, you needed to worry about damaged roads because you had a vehicle, you needed to be sad, they didn't increase because of electricity",Negatif,Negatif
BLT is the right solution for top orders according to price,Positif,Positif
I just asked when SBY was in charge how much Papua would cost,Netral,Positif
Just let the prices of basic necessities drop hahaha,Positif,Positif
"tomorrow I will talk to people about anything, music, books, football, info, links, gacor, online gambling, weather predictions, bmkg, bank credit interest, updates, now local alcohol prices, what's the origin?",Positif,Netral
"First time since the end of the pandemic, Pertamax prices have increased",Positif,Positif
increase prices,Positif,Positif
"kpop fans getting married to kpop are making noise about kpop artists, it's not that food prices are going up, electricity is expensive, gas is expensive, it's hard to make money, it's hard to find work, the dramas are anti-mainstream soap operas",Negatif,Negatif
according to the price take care of the well-being of the bengkulu,Positif,Positif
Pertamina's price series officially increased after Christmas,Positif,Netral
"It seems like state businesses don't need to advertise at one price. Is it good to advertise products that compete with similar businesses? It's strange, I think there's no debate",Positif,Positif
"Subsidized electric cars, price increases, buy LPG, use KTPBER, work hard",Negatif,Negatif
phknight the shop closes it's appropriate this isn't the village kaobbm keep changing the price if you know change the price if you understand what,Netral,Positif
great achievements and becoming a Pertamina commissioner increased the price of oppression of the small people,Positif,Positif
"Suitable for fencing, representatives of political parties, favors, everyone's money goes up, people's need for life goes up, electricity goes up, basic necessities go up, confiscation of all property",Positif,Positif
waiting for the price to decrease,Netral,Netral
It's clear that your promise to lower the price is just a big mistake,Positif,Positif
"The problem of corruption is the price of basic necessities, the price of dealing with keteng cigarettes. Hadeeehhh, spectacular work to lead simple people, real work",Negatif,Negatif
"It's not wrong when it just came out, the price went up, now the price goes up, everything goes up, during New Year's holidays, you are forced to measure big, do you want to give alms, or do you want to trade to make money?",Positif,Negatif
"work is not important, but is it not important to do quality work like that, pay the national debt, prices go down, food prices go down, less wine, level of prosperity, etc. if you can't afford it, just go down, don't force anything, force is not good",Negatif,Positif
"change the issue when the government doesn't reduce prices, world oil prices fall",Netral,Netral
according to the price,Netral,Netral
Prices are rising because price rockets require basic necessities for the Indonesian people,Netral,Netral
If Konoha prices go up or not,Netral,Netral
"wait for high ranking Pdip demos to roar and roar nang dara in the current era, the president of ministers, many Pdips don't rise, they disappear, cheap prices",Positif,Positif
"MW prices are still going down, but the price of basic necessities has already gone up and down and is still down, only the pants are down",Netral,Netral
"In the current regime, prices have risen very high. In the SBY era, prices only increased slightly",Positif,Positif
"aim, so lowering the price doesn't just mean you need to study more",Negatif,Positif
It's true that Pertamina's price is the cheapest compared to the private sector,Positif,Positif
"promise to lower world oil prices, there is no mention of subsidies",Negatif,Positif
"I'm embarrassed to be a kid, where is Esemka where cheap food prices are going up, I think it's the flu, bro",Negatif,Positif
Puan Maharani will definitely support the use of electric vehicles with less air pollution and less subsidies while world oil prices continue to rise,Positif,Positif
Average stock at the same price as fruit is long enough to be desired,Positif,Positif
support according to the order price,Positif,Positif
"the price goes up, the price needs a tree, everything goes up, just tell me to buy, etc",Netral,Negatif
"Anies is not currently serving as Sono Jokowi's demo, why hasn't he come down yet when world oil prices have plummeted",Netral,Positif
Pertamina prices officially went up after Christmas,Netral,Netral
Pertamina prices officially went up after Christmas,Netral,Netral
"Hafid Aly, chairman of the non-governmental consumer protection agency, Garut Regency, supports according to price",Positif,Positif
"imported rice, imported sugar, imported corn, change prices, layoffs everywhere, many business shops are closed, but they say that the Indonesian economy is growing strongly, they are indeed experts in entertaining the people",Positif,Positif
"Paser Belengkong Pasir Police personnel are like safe gas stations, efforts to discipline residents due to rising fuel oil prices, anticipating traffic jams due to queuing, abuse",Positif,Positif
"sugeng lur lur opo continue to help the people in need by raising ki and continuing to enter the new year. The price of ra is so crazy that the people are screaming, the squirm of abakdi trenggalek is increasingly making the people of ra choose the wrong representative ne",Negatif,Negatif
"According to the price, it is important to maintain public welfare",Positif,Positif
"according to the price, create a subsidy that is right on target",Positif,Positif
order steps according to the subsidized price sell,Netral,Netral
"Don't ask for a reduction, just withdraw the subsidy status because the current price is already higher than the market price",Netral,Positif
world crude oil prices go down prices don't go back world oil prices,Negatif,Negatif
"It's impossible for the subsidy price to go down. Even though the subsidy funds are still sufficient, more subsidies will go into the pockets of the team buying billboards and basic necessities, bro.",Netral,Netral
"The president said the minimum results could withstand the conditions of the President's era, not yet a simple example of the price of electricity, taxes, students had time to work hard to enforce the building leveling law",Negatif,Negatif
"The country has frequently increased electricity rates, said the wife, the prices of basic necessities keep changing, aka going up",Positif,Positif
"Nelson urges planting program to control inflation in Gorontalo Regency following rising fuel oil prices, potentially increasing Gorontalo's inflation rate",Netral,Netral
world oil prices go down and even go up,Netral,Netral
Prices increase Khofifah reviews stable prices of market staples,Positif,Positif
"World oil prices are going down, beo when prices go down, don't be like the king of Konoha who feels at home perched",Negatif,Negatif
"World oil prices continue to fall, PKS asks for precise orders, promises to reduce subsidies, government commits to concretely reduce subsidy prices if world oil prices fall",Positif,Positif
talking about price increases,Netral,Netral
Prices are rising because the price rocket requires basic necessities for the Indonesian people,Netral,Netral
One price gesspresmumu fantasizes a lot like someone masturbating,Positif,Positif
Erick Thohir demands a promise to reduce subsidized prices,Positif,Positif
"Erick, don't lie, world oil prices continue to fall. Mulyanto orders you not to break your promise to reduce subsidies",Positif,Positif
support the progress of the nation,Positif,Positif
West Java figures support according to fuel prices,Positif,Positif
PWI Majalengka Regency Kiki Baehaqi supports according to price,Positif,Positif
"according to the price, keep your money",Netral,Positif
"Bandung flood, cable distance category, all prices require delicious staple hebel, SBY era",Positif,Netral
the government distributes middle BLT according to price,Netral,Netral
blt has less impact according to the price,Netral,Netral
I'm embarrassed so I swear it's better to ride beats using Pertamax to buy cash for more self-esteem,Negatif,Positif
The solution for increasing BLT is right on target and lowering prices,Positif,Positif
"Sometimes there are a lot of people who pretend to know but don't research first, even if the price drops, don't just check it out first",Negatif,Negatif
The question is that Indonesian prices are really cheap,Netral,Netral
"hahahaha understand the economy, the inflation rate is one of the indicators of economic growth, note the level of economic activity boost, Jokowi's era, inflation pushes up electricity prices, all controls are stupid orders",Positif,Positif
take care of PWI Majalengka Regency support according to price,Positif,Positif
The rising price of world oil falls in favor of which people,Positif,Netral
The step of ordering according to price is a good momentum for the structure of providing subsidies,Positif,Positif
Great command of the results to keep inflation in line with the price,Positif,Positif
how much does Pertamina cost per day?,Netral,Netral
according to the price of prosperity,Netral,Netral
"If you're sane, don't forget one fuel price, but you'll get lost in another one, wow",Positif,Positif
support orders according to price,Positif,Positif
"MJB Yes, it's cool to get married young, but why do the majority of young people now think about getting married straight away because property is increasing and competition for jobs is tight? Price increases automatically affect food prices.",Positif,Positif
according to the right target subsidy price,Netral,Netral
support orders according to price,Positif,Positif
positive impact according to price,Positif,Netral
"Later, the fate of the business will be the same as the red plate will increase private prices, but will also tell you to increase prices",Positif,Positif
"Wooyyy nation, lower prices",Negatif,Netral
"but you need money when it's expensive, try it bro, maybe you understand more about the increase in electricity rates and gas prices, the impact of needing money is also going up for what reason, please",Positif,Positif
"Using price measurements, fertilizer prices, electricity rates, taxes and exchange rates, it can work if the SBY era is very comfortable",Positif,Positif
"When will it go up, I'm going to move, next year prices will start to go up",Netral,Netral
txt like a demo asking to reduce the price,Positif,Positif
continue to support according to price,Positif,Positif
BLT program helps middle class people according to price,Positif,Netral
"Ouch, let's just deal with the prices there, Biden Biden",Netral,Positif
"Lately, world oil prices have been difficult to predict by experts in terms of oil levels. Innovation in finding a mode of transportation does not require a safe driver's appointment",Negatif,Negatif
destination at the right price,Netral,Netral
"I think the people know that SBY is better at focusing on infrastructure, even across the country, the same price as Sabang, Merauke, breaking through to take over Freeport, Chevron, I think Jokowi is selling well",Positif,Positif
"the price of rice goes up, chilies go up, eggs go up, may Allah increase your sustenance, aamiin",Positif,Positif
"General Jokowi's die-hard fans are smiling steadfastly as they face the rising price of goods and services, which is quite a lot",Positif,Positif
aim to sell according to price,Netral,Netral
"had a chance to become a syaikhu until it was important that politics was clear, mother neng emakemak heroine, the price of chilies, basic food, children's school fees, the price of course decided, politics, politics, don't go far",Positif,Negatif
"Even if it goes down, it's important that it doesn't go up. We have a formula for calculating the prices going up and down. It's better to talk about Mypertamina, that's a cool application, so it's a targeted subsidy solution.",Positif,Positif
"just pray for it to go down, even if it's important, it doesn't go up and down, it keeps going up, you're nagging, you're grumbling, because the price of crude oil is stable, Pertamina has a formula for calculating the price going up and down.",Negatif,Positif
"Leading up to Christmas, bus ticket prices are crazy, even though ticket prices are going up and down",Negatif,Netral
"don't give out more BLT, the price of basic food products goes up",Netral,Netral
according to the basic price calculated carefully,Positif,Netral
according to the price of fencing efficiency measures,Positif,Positif
agree the price adjustment is good,Positif,Positif
Wes society accepts the price increase yo sek angel angel stock e celehhh,Positif,Positif
"price according to order, ready to help with BLT and wage subsidies",Positif,Positif
"according to the price, so it is a measure to avoid the apbn crisis",Negatif,Negatif
according to the sale price of apbm jebol,Netral,Netral
"The aim is to get a lot of people's breast milk, with prices going up tens of times, remove subsidies, increase the prices of basic agricultural inputs, then import agricultural goods, harvest for a lot of dead microphones, then knock, regulate people's teak.",Negatif,Negatif
Eman Suherman supports price adjustments,Positif,Positif
I just agree that prices are getting more expensive as long as a smile remains cheap to me,Positif,Positif
"for public transportation during the SBY era, just so you know, fares go up and down, where is the return fare, the original price still goes up, or what if that's the case?",Positif,Positif
"Winning during the SBY era, development was very massive during the IT era, toll dams, airports, etc. Cheap fuel, one price throughout Indonesia, low corruption",Positif,Positif
West Java figures support according to price,Positif,Positif
"Ok, sir, being the boss of a reshuffled state company, you already know about Ken's campaign to become president, vice president, the world oil price will go down, you want to make super big profits, price wise monopoly",Positif,Negatif
Akhsan Sekbid Bem Unisba supports price adjustments,Positif,Positif
welcome to bal island bargain good prices cheap holiday packages bal nusa penida holiday packages honeymoon packages team building outbound training packages car rental fueldriver hub ptpandawa Lima tour bal,Positif,Positif
"Fadjroel has thick pockets, soft chairs, doesn't care about debts, prices of basic food prices have dispelled the SBY era",Negatif,Positif
"increase in price, isn't it?",Positif,Positif
Many figures support price adjustments to reduce the burden on the APBN,Negatif,Positif
"support according to price, create targeted subsidies",Positif,Positif
"Originally, Kang Boong's regime actually said that Dr Esemka wanted to lower prices, international prices down to one person's middle school",Negatif,Negatif
Chairman of the Bandung Regency FSBI supports according to price,Positif,Positif
"Wow, the party isn't interested in rewarding Pranowo yet, it seems like the people don't believe in surveys like this, the people know the prices of basic necessities, fertilizer, electricity, BPJS, taxes are going up, making people's lives miserable.",Positif,Negatif
"Oil price data has fallen, not decreased by a lot",Negatif,Netral
I don't think rich people will become poor if prices rise,Negatif,Negatif
"natural price according to the official price increases, special good property of Indonesian petrol roads",Positif,Positif
Wonokerto village's Bhabinkamtibmas provides basic food assistance to underprivileged communities due to the impact of rising prices for basic necessities,Netral,Netral
support according to price,Positif,Positif
Do you think you can get one price for fuel or are you stupid for not showing off your drums?,Negatif,Positif
"real price, significant negative impact, partial break up, traveling around Balikpapan, listening to songs using a headset in the middle of the night",Negatif,Negatif
go according to the price,Netral,Netral
"Prices want to go up, it's hard for the people, if they don't go up, it's hard for the country, Moeldoko, playing Gaple is not gambling, it's different, playing for money, nauseous Abrijani Kominfo, gamers Semuel Abrijani Kominfo",Positif,Positif
"price increases, the country's situation is entering the planting season, click for complete details",Netral,Positif
Bulog's excuse is that rice stocks are thin because prices are rising,Positif,Netral
Demonstration against rising subsidized prices,Positif,Netral
a thread as a form of effort to realize one price of PT Pertamina Patra Niaga's commitment to always be full of energy needs to all corners of the country,Positif,Positif
